"Category","Denmark Incidence (Male)","Denmark Incidence (Female)","Denmark Mortality (Male)","Denmark Mortality (Female)","UK Incidence (Male)","UK Incidence (Female)","UK Mortality (Male)","UK Mortality (Female)"
1960,207.12,216.8,150.38,131.63,,,178.13,115.79
1961,211.09,218.57,152.77,132.41,,,179.22,115.46
1962,212.5,220.25,153.9,131.49,,,180.1,115.63
1963,216.65,221.6,155.5,131.39,,,181.18,115.68
1964,218.4,224.12,155.39,130.23,,,182.26,115.8
1965,223.34,224.99,154.67,128.87,,,183.26,116.03
1966,227.62,227.58,153.32,126.37,,,184.65,116.88
1967,232.3,228.65,153.95,127.15,,,186.13,117.63
1968,235.29,230.08,154.69,127.55,,,187.06,118.33
1969,239.35,229.6,158.65,129.09,,,187.69,119.08
1970,241.86,230.02,163.14,131.35,,,188.35,119.75
1971,243.8,228.14,166.88,132.86,,,188.45,120.11
1972,245.68,228.04,168.04,131.62,,,188.44,120.31
1973,249.93,229.41,168.74,131.09,,,188.07,120.59
1974,254.28,233.2,168.52,131.89,,,188.35,121.16
1975,258.01,236.97,167.91,131.3,,,187.75,121.52
1976,262.62,241.86,169.31,131.94,,,187.47,122.04
1977,266.59,243.14,171.19,133.85,,,187.05,122.51
1978,269.48,244.98,174.9,135.43,,,186.75,123.05
1979,270.47,245.52,177.16,135.29,,,185.71,123.24
1980,272.33,246.13,179.31,135.18,,,184.85,123.61
1981,274.77,249.73,182.22,136.67,,,184.41,123.84
1982,276.83,252.18,183.82,137.43,,,184.76,124.82
1983,278.05,253.22,184.17,137.33,,,185.06,125.7
1984,279.64,254.65,184.69,137.84,,,184.95,126.33
1985,282.51,258.23,185.32,139.32,,,185.22,127.07
1986,283.94,259.35,184.08,139.86,,,185.08,127.91
1987,284.52,262.8,183.18,140.19,,,183.9,127.91
1988,283.85,265.28,183.06,140.3,,,182.78,127.44
1989,284.52,268.18,181.5,140.68,,,181.93,126.94
1990,284.37,270.89,180.62,140.92,,,180.92,126.21
1991,283.18,271.45,180.51,140.21,,,178.9,124.9
1992,284.66,274.02,180.92,140.09,,,176.51,123.28
1993,285.57,276.64,180.27,141.26,,,173.74,121.67
1994,286.27,279.04,180.65,140.71,,,170.44,119.84
1995,286.5,278.7,179.86,140.87,,,166.24,117.76
1996,288.95,281.82,177.74,139.99,,,162.97,115.86
1997,290.28,283.91,175.37,139.36,265.55,234.14,159.43,113.96
1998,293.93,286.1,173.52,137.59,267.32,236.38,155.68,112.14
1999,296.42,288.37,171.46,136.63,269.83,238.55,153.07,110.77
2000,298.94,291.16,168.17,133.93,270.36,238.24,151.41,109.6
2001,301.27,291.14,164.77,131.34,270.92,239.34,148.95,108.38
2002,307.76,293.36,162.67,128.02,272.73,239.59,146.85,107.11
2003,314.72,295.97,159.32,125.71,273.24,241.02,144.85,106.02
2004,323.85,300.77,157.71,123.22,274.57,242.82,142.49,104.63
2005,333.28,304.13,155.19,121.46,276.52,245.56,139.85,103.52
2006,343.4,312.87,152.97,120.18,279.49,248.07,137.65,102.5
2007,351.25,323.85,149.34,118.45,282.86,251.52,135.58,101.34
2008,354.39,330.53,146.62,116.17,286.07,254.25,133.71,100.19
2009,357.81,334.31,143.19,113.57,288.08,256.82,131.77,99.28
2010,360.12,337.91,141.64,111.73,290.77,259.75,130.07,98.35
2011,358.6,337.82,139.29,109.12,,,128.34,97.2
2012,358.99,334.63,137.35,107.3,,,,
2013,360.16,334.31,134.92,105.02,,,,
2014,358.61,332.69,131.73,103.45,,,,